"","genes_core"
"843","group_7799"
"844","group_7806"
"845","group_7810"
"846","group_7857"
"847","group_7877"
"848","group_7878"
"849","group_7880"
"850","group_7889"
"851","group_7913"
"852","group_792"
"853","group_7932"
"854","group_7936"
"855","group_7938"
"856","group_7948"
"857","group_795"
"858","group_7956"
"859","group_7965"
"860","group_7979"
"861","group_7981"
"862","group_7988"
"863","group_7989"
"864","group_7990"
"865","group_7991"
"866","group_7996"
"867","group_8007"
"868","group_8026"
"869","group_8029"
"870","group_8053"
"871","group_8086"
"872","group_8096"
"873","group_8107"
"874","group_8108"
"875","group_8110"
"876","group_8114"
"877","group_8124"
"878","group_8134"
"879","group_8143"
"880","group_8144"
"881","group_8154"
"882","group_8160"
"883","group_8161"
"884","group_8162"
"885","group_8170"
"886","group_8174"
"887","group_8189"
"888","group_8192"
"889","group_8202"
"890","group_8203"
"891","group_8208"
"892","group_8225"
"893","group_8268"
"894","group_8388"
"895","group_8477"
"896","group_8487"
"897","group_8600"
"898","group_8603"
"899","group_8605"
"900","group_8606"
"901","group_8625"
"902","group_8654"
"903","group_866"
"904","group_8664"
"905","group_8666"
"906","group_8690"
"907","group_8694"
"908","group_8698"
"909","group_8699"
"910","group_8701"
"911","group_8704"
"912","group_8709"
"913","group_8711"
"914","group_8712"
"915","group_8713"
"916","group_8714"
"917","group_8716"
"918","group_8717"
"919","group_8719"
"920","group_872"
"921","group_8729"
"922","group_8734"
"923","group_8737"
"924","group_8746"
"925","group_8748"
"926","group_8751"
"927","group_8759"
"928","group_8763"
"929","group_8770"
"930","group_8772"
"931","group_8774"
"932","group_8781"
"933","group_8785"
"934","group_8786"
"935","group_8793"
"936","group_8797"
"937","group_8799"
"938","group_8803"
"939","group_8804"
"940","group_8806"
"941","group_881"
"942","group_8819"
"943","group_8822"
"944","group_8831"
"945","group_8835"
"946","group_8842"
"947","group_8851"
"948","group_8862"
"949","group_8863"
"950","group_8864"
"951","group_8870"
"952","group_8878"
"953","group_8879"
"954","group_8885"
"955","group_8888"
"956","group_8897"
"957","group_8900"
"958","group_8903"
"959","group_8910"
"960","group_8911"
"961","group_8912"
"962","group_8913"
"963","group_8917"
"964","group_8921"
"965","group_8924"
"966","group_8931"
"967","group_8933"
"968","group_8946"
"969","group_8957"
"970","group_8963"
"971","group_8970"
"972","group_8978"
"973","group_8980"
"974","group_9057"
"975","group_9556"
"976","group_960"
"977","group_998"
"978","grpE"
"979","gsiD_1"
"980","gsiD_2"
"981","gtaB"
"982","guaA"
"983","guaD"
"984","gudB"
"985","gutB_1"
"986","gutB_2"
"987","gyrB"
"988","hemA"
"989","hemAT"
"990","hemB"
"991","hemC"
"992","hemC_1"
"993","hemE"
"994","hemH"
"995","hemL"
"996","hemZ"
"997","hepS"
"998","hepT"
"999","hflX"
"1000","hfq"
"1001","hisB"
"1002","hisC_1"
"1003","hisC_2"
"1004","hisD"
"1005","hisF"
"1006","hisG"
"1007","hisK"
"1008","hisS"
"1009","hisZ"
"1010","hmoB"
"1011","hmuU"
"1012","hpr"
"1013","hprK"
"1014","hpt"
"1015","hrcA"
"1016","hsaD"
"1017","hslO"
"1018","htpX_3"
"1019","htrB"
"1020","icd"
"1021","ileS"
"1022","ilvB_1"
"1023","ilvB_2"
"1024","ilvC"
"1025","ilvE"
"1026","ilvH"
"1027","ilvK"
"1028","IMPDH_1"
"1029","IMPDH_2"
"1030","iolS_1"
"1031","iolU_2"
"1032","iphP"
"1033","iscS_1"
"1034","iscS_2"
"1035","isp"
"1036","ispE"
"1037","ispH"
"1038","iucA"
"1039","iucB"
"1040","iucC"
"1041","iucD_1"
"1042","iucD_2"
"1043","kapB"
"1044","kdgA"
"1045","kdsB"
"1046","kduI"
"1047","kefB"
"1048","kefG"
"1049","khtT_1"
"1050","khtT_2"
"1051","kipR"
"1052","ktrA"
"1053","ktrB"
"1054","lacC_1"
"1055","lacC_2"
"1056","lacF"
"1057","lacR"
"1058","lacX"
"1059","lctP"
"1060","ldh_1"
"1061","lepA"
"1062","leuA_1"
"1063","leuB"
"1064","leuC"
"1065","leuD"
"1066","leuS"
"1067","lexA"
"1068","lgt"
"1069","liaG"
"1070","liaH"
"1071","liaR_1"
"1072","liaR_2"
"1073","liaS"
"1074","licH_2"
"1075","licT_2"
"1076","licT_3"
"1077","ligA"
"1078","lipA"
"1079","lipC"
"1080","lipL"
"1081","lipM"
"1082","lipO"
"1083","lnrL_2"
"1084","lolD"
"1085","lon2"
"1086","lplJ"
"1087","lpxG"
"1088","lrpC_1"
"1089","lrpC_2"
"1090","ltaS1_1"
"1091","ltaS1_2"
"1092","ltaS2_1"
"1093","lutA_2"
"1094","luxS"
"1095","lysC"
"1096","lysS"
"1097","lytC_1"
"1098","lytD"
"1099","lytE"
"1100","lytH"
"1101","maeA_1"
"1102","maf"
"1103","mbl"
"1104","mcpA_2"
"1105","mcpB_1"
"1106","mcpC"
"1107","mdh"
"1108","mecA"
"1109","melA"
"1110","menA"
"1111","menB"
"1112","menC"
"1113","menD"
"1114","menE"
"1115","menH_1"
"1116","menH_3"
"1117","menI"
"1118","metC"
"1119","metK"
"1120","metN"
"1121","metP"
"1122","metY"
"1123","mglA_1"
"1124","mglA_2"
"1125","mgsA"
"1126","mgsR_1"
"1127","mhqD"
"1128","mhqO"
